Ewe/V	<I>/mA	time/s
3.1209638E+000	3.602809759388692E-001	1.394999964759336E+003
3.1220329E+000	3.602825067113554E-001	1.399999964633025E+003
3.1231019E+000	3.602801149807480E-001	1.404999964506715E+003
3.1243999E+000	3.602797615049300E-001	1.409999964380404E+003
3.1254692E+000	3.602804915938977E-001	1.414999964254093E+003
3.1264617E+000	3.602792400214955E-001	1.419999964127783E+003
3.1277218E+000	3.602798067603538E-001	1.424999964001472E+003
3.1289628E+000	3.602766725823514E-001	1.429999963875161E+003
3.1300509E+000	3.602788058457548E-001	1.434999963748851E+003
3.1311390E+000	3.602791947851453E-001	1.439999963622540E+003
3.1322081E+000	3.602791668794420E-001	1.444999963496230E+003
3.1333725E+000	3.602766803154582E-001	1.449999963369919E+003
3.1344607E+000	3.602758548852825E-001	1.454999963243608E+003
3.1356063E+000	3.602756571909759E-001	1.459999963117298E+003
3.1368279E+000	3.602760022494258E-001	1.464999962990987E+003
3.1379161E+000	3.602781633291255E-001	1.469999962864676E+003
3.1390808E+000	3.602767940315865E-001	1.474999962738366E+003
3.1399779E+000	3.602765709600057E-001	1.479999962612055E+003
3.1411235E+000	3.602772922048360E-001	1.484999962485745E+003
3.1419444E+000	3.602779495582538E-001	1.489999962359434E+003
3.1430898E+000	3.602789786598899E-001	1.494999962233123E+003
3.1441588E+000	3.602797549949106E-001	1.499999962106813E+003
3.1451516E+000	3.602816042147563E-001	1.504999961980502E+003
3.1462970E+000	3.602818988405229E-001	1.509999961854192E+003
3.1474042E+000	3.602809413324115E-001	1.514999961727881E+003
3.1483207E+000	3.602817469595395E-001	1.519999961601570E+003
3.1493897E+000	3.602824124442232E-001	1.524999961475260E+003
3.1503632E+000	3.602831767331447E-001	1.529999961348949E+003
3.1513941E+000	3.602830294810582E-001	1.534999961222638E+003
3.1524632E+000	3.602828370462656E-001	1.539999961096328E+003
3.1533797E+000	3.602843195628302E-001	1.544999960970017E+003
3.1542959E+000	3.602836955296018E-001	1.549999960843707E+003
3.1555369E+000	3.602832029615732E-001	1.554999960717396E+003
3.1564531E+000	3.602809218583815E-001	1.559999960591085E+003
3.1575413E+000	3.602793485627485E-001	1.564999960464775E+003
